21.4899 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
45.7958 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1366, 768]. Using actual size
49.6374 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000020AA050A0D0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000020B24B8E580>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1366,  768]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
49.6377 	EXP 	window1: mouseVisible = True
49.6380 	EXP 	window1: mouseVisible = False
49.6380 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
49.6382 	EXP 	window1: recordFrameIntervals = False
49.8030 	EXP 	window1: recordFrameIntervals = True
49.9863 	EXP 	Screen (0) actual frame rate measured at 60.17Hz
49.9864 	EXP 	window1: recordFrameIntervals = False
58.4116 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
58.4390 	EXP 	window1: mouseVisible = True
58.6752 	EXP 	Created slider = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-1, fillColor=None, flip=False, font='Open Sans', granularity=0.0, labelColor=None, labelHeight=0.05000000000000001, labelWrapWidth=None, labels=['Familiar', 'Unfamiliar'], lineColor=None, markerColor=None, name='slider', opacity=None, ori=0.0, pos=array([ 0. , -0.3]), readOnly=False, self=UNKNOWN, size=array([1. , 0.1]), startValue=None, style='rating', styleTweaks=[], ticks=array([1, 2, 3, 4, 5]), units='height', win=Window(...))
58.6770 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0.0, pos=array([0. , 0.3]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
59.3363 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05000000000000001, italic=False, languageStyle='LTR', name='text_3', opacity=1.0, ori=0.0, pos=array([ 0. , -0.3]), rgb=UNKNOWN, text='Click to Submit', units='height', win=Window(...), wrapWidth=1)
59.3365 	EXP 	window1: mouseVisible = True
59.3720 	EXP 	Imported study_words.xlsx as conditions, 20 conditions, 1 params
59.3966 	EXP 	Created sequence: random, trialTypes=20, nReps=1, seed=None
59.3973 	EXP 	New trial (rep=0, index=0): {'study_word': 'perfume'}
59.6039 	EXP 	slider: autoLog = True
59.6039 	EXP 	slider: markerPos = None
59.6039 	EXP 	slider: styleTweaks = []
59.6039 	EXP 	slider: styleTweaks = []
59.6039 	EXP 	slider: styleTweaks = []
59.6039 	EXP 	slider: styleTweaks = []
59.6039 	EXP 	slider: contrast = 1.0
59.6039 	EXP 	slider: autoLog = True
59.6039 	EXP 	textbox: autoLog = True
59.6039 	EXP 	text: height = 0.05000000000000001
59.6039 	EXP 	text: height = 0.05000000000000001
59.6039 	EXP 	text: height = 0.05000000000000001
59.6039 	EXP 	text: text = 'perfume'
59.6039 	EXP 	slider: markerPos = None
59.6039 	EXP 	slider: markerPos = None
59.6039 	EXP 	text: autoDraw = True
59.6039 	EXP 	slider: autoDraw = True
61.8873 	DATA 	Mouse: Left button down, pos=(300,158)
61.9049 	EXP 	slider: markerPos = 1.0052083333333333
61.9235 	EXP 	slider: markerPos = 1.0052083333333333
61.9425 	EXP 	slider: markerPos = 1.0052083333333333
61.9621 	EXP 	slider: markerPos = 1.0052083333333333
61.9816 	EXP 	slider: markerPos = 1.0052083333333333
61.9995 	EXP 	slider: markerPos = 1.0052083333333333
62.0193 	EXP 	slider: markerPos = 1.0052083333333333
62.0385 	EXP 	slider: markerPos = 1.0052083333333333
62.0573 	EXP 	slider: markerPos = 1.0052083333333333
62.0768 	EXP 	slider: markerPos = 1.0052083333333333
